Date,Tweet ID,Leader Name,Followers,Text,Hashtags
2022-11-26,1596492636994535424,Enrico Letta,741530,Il dramma di #Ischia. Il dolore e la vicinanza alle famiglie coinvolte.,['Ischia']
2022-11-26,1596405026175553536,Enrico Letta,741530,"Schio, Vicenza, Senigallia. Tappe animate e piene di discussioni vivaci, in giro per presentare il #Congresso Costituente e discutere coi militanti.",['Congresso']
2022-11-25,1596056365956739072,Enrico Letta,741530,"Oggi, #25novembre, e tutti i giorni, #GiornataControlaviolenzaSulleDonne","['25novembre', 'GiornataControlaviolenzaSulleDonne']"
2022-11-22,1594984378437861376,Enrico Letta,741530,Tanti ricordi e tanti confronti. Sempre pieni di rispetto e di sostanza. Che tristezza. Ci mancherai. Ti sia lieve la terra Roberto 🙏. #Maroni,['Maroni']
2022-11-22,1594974968789762049,Enrico Letta,741530,"Sabato17 la nostra manifestazione contro una #manovra improvvisata e iniqua. Inadeguata rispetto al rischio recessione e all’impennata dell’inflazione. Lo avevamo anticipato nella nostra Assemblea di sabato. Ora, dopo le decisioni di ieri lo confermiamo con ancora più convinzione",['manovra']
2022-11-21,1594596983200702467,Enrico Letta,741530,"Instancabile lottatrice contro la dittatura in #Argentina scompare Hebe de Bonafini. Il dolore di tutta la nostra comunità per un lutto che colpisce le Madres de Plaza de Mayo, l’Argentina e tutti coloro che difendono libertà, giustizia e rispetto dei diritti umani.",['Argentina']
2022-11-20,1594341051313029122,Enrico Letta,741530,Congratulazioni ⁦@VisentiniLuca⁩. Bellissima notizia un 🇮🇹 nuovo leader dell’organizzazione mondiale dei #sindacati ⁦@ituc⁩. Bravo Luca! https://t.co/1HSpMoRU2b,['sindacati']
2022-11-19,1593991448269029376,Enrico Letta,741530,"Forza @pfmajorino in Lombardia e @AlessioDAmato_ nel Lazio, i candidati del @pdnetwork e del centrosinistra pronti alla sfida alla destra alle regionali.",[]
2022-11-19,1593986069732753419,Enrico Letta,741530,L’Assemblea Costituente il 20-22 gennaio e le #PrimarieNuovoPd il 19 Febbraio. Comincia il Congresso Costituente. Avanti con le idee. Avanti con le candidature. #NuovoPd,"['PrimarieNuovoPd', 'NuovoPd']"
2022-11-18,1593598276653043713,Enrico Letta,741530,Forza @pfmajorino! https://t.co/5DiLPXniPQ,[]
2022-11-15,1592603620339380224,Enrico Letta,741530,"A fianco dei nostri amici 🇵🇱 in questo momento drammatico, carico di tensione e di paure. Quel che succede alla #Polonia succede a noi.",['Polonia']
2022-11-15,1592469173728206848,Enrico Letta,741530,Un sottosegretario alla Salute che nega i #vaccini non può rimanere in carica. #Gemmato #Restart #art54Cost,"['vaccini', 'Gemmato', 'Restart', 'art54Cost']"
2022-11-14,1592196987461324801,Enrico Letta,741530,La bandiera europea sventola a #Kherson. La #pace ora è più vicina. https://t.co/9txE8qeznU,"['Kherson', 'pace']"
2022-11-13,1591723315441590273,Enrico Letta,741530,Great news for the whole world #MidtermElections2022 #DemocratsKeepSenate https://t.co/3ZxTMhXxTz,"['MidtermElections2022', 'DemocratsKeepSenate']"
2022-11-10,1590771100556091392,Enrico Letta,741530,Grazie @nzingaretti. Impegno e risultati. Una Regione Lazio oggi migliore. https://t.co/7W9OGLYmeI,[]
2022-11-10,1590692400556838913,Enrico Letta,741530,Che bella notizia. Grazie a tutti coloro che hanno contribuito alla liberazione di #AlessiaPiperno.,['AlessiaPiperno']
2022-11-10,1590685734985662465,Enrico Letta,741530,"Ora basta. Conte, Calenda e Renzi facciano opposizione al Governo, invece di fare opposizione all’opposizione https://t.co/Baj9RVUNBc https://t.co/6qBo9uYVJ7",[]
2022-11-08,1589897755644022785,Enrico Letta,741530,"Un tweet inattaccabile, che ricorda la pura verità. #Vianello https://t.co/P83kTC9NPF",['Vianello']
2022-11-07,1589562378576072705,Enrico Letta,741530,#ForzaSergioStaino forza! https://t.co/VMi9QKJBOg,['ForzaSergioStaino']
2022-11-07,1589536743463997446,Enrico Letta,741530,"Parte oggi il percorso, aperto e libero, per la Costituente di una nuova Sinistra di Governo https://t.co/mhamVQc5qR #NuovoPD",['NuovoPD']
2022-11-06,1589191641067552769,Enrico Letta,741530,"Il #caricoresiduale e lo #sbarcoselettivo. Linguaggio inaccettabile per scelte a #Catania ancor più inaccettabili, contrarie ai principi di umanità e alle regole internazionali. #Humanity1","['caricoresiduale', 'sbarcoselettivo', 'Catania', 'Humanity1']"
2022-11-05,1588870610045702144,Enrico Letta,741530,"Tanti annunci, molte promesse. Ma la sostanza è che la prima scelta di finanza pubblica del #GovernoMeloni è aumentare il #deficit. Che farà aumentare il #debito. Che renderà 🇮🇹 meno sovrana e autonoma e più dipendente dagli altri.","['GovernoMeloni', 'deficit', 'debito']"
2022-11-04,1588449489303777280,Enrico Letta,741530,Accanto alle donne e agli uomini che con dedizione e sacrificio sono quotidianamente impegnati a tutelare la sicurezza dell’Italia e di tutti noi. #4Novembre #GiornodellUnitaNazionale #GiornatadelleForzeArmate,"['4Novembre', 'GiornodellUnitaNazionale', 'GiornatadelleForzeArmate']"
2022-11-03,1588102562795999234,Enrico Letta,741530,"Meloni si dice #fiera di quel che han fatto in cdm. E che hanno già deciso di modificare. Un passo in più, con #fierezza, #ritirateArt434bis.","['fiera', 'fierezza', 'ritirateArt434bis']"
2022-11-01,1587501209866346499,Enrico Letta,741530,"Le precisazioni del Viminale sulla questione #raveparty non cambiano la questione giuridica che abbiamo posto. Anzi, la precipitosa e inusuale precisazione conferma che hanno fatto un pasticcio. Che si risolve solo col ritiro della norma. #NoArt434bis","['raveparty', 'NoArt434bis']"
2022-11-01,1587471527842398211,Enrico Letta,741530,"NO. Il #raveparty di Modena è stato gestito bene, con le leggi vigenti. Le nuove norme che avete voluto con decreto legge non sono contro “i raveparty abusivi”. Suonano come  limite alla libertà dei cittadini e minaccia preventiva contro il dissenso. #TornateIndietro #NoArt434bis https://t.co/2hSKWLeigh","['raveparty', 'TornateIndietro', 'NoArt434bis']"
2022-11-01,1587420532642877440,Enrico Letta,741530,Il Governo ritiri il primo comma dell’ #art434bis di riforma del Codice Penale. È un gravissimo errore. I #rave non c’entrano nulla con una norma simile. È la #libertà dei cittadini che così viene messa in discussione. #NoArt434bis.,"['art434bis', 'rave', 'libertà', 'NoArt434bis']"
2022-10-31,1587111651010117632,Enrico Letta,741530,"Tante aspettative, grandi attese. Il #GovernoMeloni ha fatto nel suo #cdm di esordio la sua prima scelta. Ha premiato i #NoVax. Peggio di così era difficile iniziare.","['GovernoMeloni', 'cdm', 'NoVax']"
2022-10-31,1587004562916970496,Enrico Letta,741530,"Dare oggi ragione ai negazionisti del #Covid, il peggior inizio possibile per il #GovernoMeloni. E non è un pregiudizio il nostro. È un giudizio basato sulle prime scelte su mascherine, ospedali e vaccini. Scelte sbagliate, da cambiare. @LaStampa","['Covid', 'GovernoMeloni']"
2022-10-30,1586847672215998466,Enrico Letta,741530,Viva #LulaPresidente! #Brasile,"['LulaPresidente', 'Brasile']"
2022-10-30,1586670688731004928,Enrico Letta,741530,Il #25Aprile è la Festa di tutti gli italiani perché grazie al 25 aprile tutti siamo cittadini 🇮🇹. Anche chi allora stava dalla parte sbagliata.,['25Aprile']
2022-10-29,1586389533737656320,Enrico Letta,741530,"Dobbiamo batterci per uno Stato di diritto che funzioni bene.
La nostra battaglia per l’Europa più forte è per tenere i valori di rispetto, solidarietà, #pace e  autodeterminazione dei popoli al centro della vita di tutti i giorni e rispettati a livello globale. @spschweiz https://t.co/u3ywk1CySx",['pace']
2022-10-28,1585991381528776704,Enrico Letta,741530,Su #Covid e #vaccini le prime scelte del Governo Meloni sono superficiali e irresponsabili. Per quel che dicono sul passato e per quel che lasciano intendere sul futuro.,"['Covid', 'vaccini']"
2022-10-28,1585894540816302080,Enrico Letta,741530,"Stamani alla lapide commemorativa di Giacomo #Matteotti nel luogo del suo rapimento. Il nostro modo di ricordare il giorno più buio, il #28Ottobre22, la #MarciasuRoma, l’inizio della fine. https://t.co/UX2niNZN8e","['Matteotti', '28Ottobre22', 'MarciasuRoma']"
2022-10-27,1585551596561354752,Enrico Letta,741530,"Cade domani il centesimo anniversario della #MarciasuRoma, lo Stato che alzò bandiera bianca e si consegnò al totalitarismo. Uno dei giorni più bui della storia e della politica italiana. Lo ricorderemo davanti alla lapide per #GiacomoMatteotti.","['MarciasuRoma', 'GiacomoMatteotti']"
