Date,Tweet ID,Leader Name,Followers,Text,Hashtags
2022-09-25,1573967019950710791,Enrico Letta,741530,Buon voto! https://t.co/smWsXyOycG,[]
2022-09-23,1573431903482675201,Enrico Letta,741530,"“La speranza siamo noi quando combattiamo tutte le ingiustizie, quando non alziamo i muri e non facciamo muri alle frontiere”. 

Grazie #DavidSassoli per quello che ci hai insegnato. 
Grazie Piazza del Popolo.
E ora andiamo a vincere!

#Scegli #VotoPD https://t.co/LTbNgegSuz","['DavidSassoli', 'Scegli', 'VotoPD']"
2022-09-23,1573404065471643664,Enrico Letta,741530,Il video integrale dell’intervista al #tg1 di questa sera dopo aver chiuso la campagna elettorale a Piazza del Popolo https://t.co/T1M99Qz3mO,['tg1']
2022-09-23,1573396382135844876,Enrico Letta,741530,"Perché votare PD? Abbiamo incentrato la nostra campagna sul #lavoro. 
Una mensilità in più col taglio del cuneo, mai più finti stage per i giovani, #salariominimo, salario d'ingresso.  Il lavoro è dignità. 
@tg1 @pdnetwork 
#scegli 
#25settembrevotoPD https://t.co/MDx6sJwCsu","['lavoro', 'salariominimo', 'scegli', '25settembrevotoPD']"
2022-09-23,1573378539809808385,Enrico Letta,741530,Ma quanti siamo!!! #GrazieRoma #Scegli https://t.co/DAGjNkBBXJ,"['GrazieRoma', 'Scegli']"
2022-09-23,1573238491995054091,Enrico Letta,741530,Il #23settembre il giorno terribile dell’assassinio di Giancarlo #Siani. La memoria e la testimonianza. La lotta quotidiana contro la #camorra. https://t.co/h0Uhq3DZb0,"['23settembre', 'Siani', 'camorra']"
2022-09-23,1573212667321651200,Enrico Letta,741530,Per #Berlusconi #Putin voleva sostituire il governo #Zelensky con un governo di #personeperbene. Non ci sono parole per commentare. C’è il voto. Domenica #25settembre. #Scegli,"['Berlusconi', 'Putin', 'Zelensky', 'personeperbene', '25settembre', 'Scegli']"
2022-09-23,1573208232348340225,Enrico Letta,741530,"Vi aspetto oggi pomeriggio alle 18 a Piazza del Popolo. 
Per chiudere con noi la campagna elettorale. 
A dopo!

#scegli 
#25settembrevotoPD https://t.co/xh1PaT9ryL","['scegli', '25settembrevotoPD']"
2022-09-22,1573028515741855744,Enrico Letta,741530,"E così a 3 giorni dal voto Meloni getta la maschera sul #Covid. 
Parole agghiaccianti sul modello cinese. 
I #vaccini e la gestione Speranza   hanno salvato decine di migliaia di vite. 
Questa sera in un colpo solo la destra offende i nostri morti e si butta in pasto ai #novax.","['Covid', 'vaccini', 'novax']"
2022-09-22,1573020738096963584,Enrico Letta,741530,La “moderata” #Meloni annuncia che cambieranno la #Costituzione da soli. La Costituzione nata dalla Resistenza e dall’antifascismo. Il voto degli 🇮🇹 il #25settembre glielo impedirà. #Scegli,"['Meloni', 'Costituzione', '25settembre', 'Scegli']"
